"Timestamp","Possui experiência com análise de dados?","Possui experiência com programação?","Em que área você trabalha?","Qual o seu cargo na sua instituição?","A sua área de trabalho realiza análise de dados com bases de dados volumosas?","Você lê gráficos com facilidade?","Quais desses softwares você já utilizou?","Em quanto tempo você imagina  começar a usar os conhecimentos adquiridos neste treinamento?","O que lhe levou a fazer esse treinamento?","Que conteúdos você espera aprender neste treinamento?"
"2020/11/30 9:24:39 AM GMT-3","Talvez","Sim","Análise de dados","Técnico","Sim","Sim","Excel;PowerBI;Qlik;R;Java;Calc","Imediatamente","necessidade de evolução imediata para o cargo e funções que ocupo","teorias, boas práticas, técnicas e softwares novos. Linguagem R."
"2020/11/30 9:26:40 AM GMT-3","Sim","Sim","Desenvolvimento de sistemas","Analista","Talvez","Talvez","Excel;Python;Java","Em até dois meses","Ampliar meus conhecimentos em linguagem R.","Raspagem de dados e estratégias de análise de dados qualitativos utilizando a linguagem R."
"2020/11/30 9:26:53 AM GMT-3","Não","Sim","Desenvolvimento de sistemas","Analista","Sim","Sim","Excel;Qlik;Python","Imediatamente","Trabalho com Business Intelligence há mais de 10 anos. Esse curso vai me ajudar a expandir os tipos de análise que poderei oferecer aos nossos clientes.","Coleta, Análise e Visualização de Dados"
"2020/11/30 9:27:03 AM GMT-3","Não","Talvez","Regulação","Especialista","Não","Sim","Excel;R","Em até seis meses","Vontade de desenvolver novas habilidades.","Obter familiaridade sobre o assunto."
"2020/11/30 9:27:17 AM GMT-3","Sim","Sim","Desenvolvimento de sistemas","Analista","Talvez","Sim","Excel;Tableau;Java","Imediatamente","Necessidade de expandir e conhecer novas técnicas de análise de dados para apresentar melhores resultados aos gestores de negócio com quem trabalho ","Técnicas de análise de dados, um pouco da plataforma R."
"2020/11/30 9:27:35 AM GMT-3","Sim","Sim","gestão ambiental","Analista","Sim","Sim","Excel","Não tenho ideia","aprimorar capacidade de análise de dados e desenvolvimento de ferramentas","soluções e caminhos para aprender a tratar grande volume de dados "
"2020/11/30 9:27:38 AM GMT-3","Sim","Sim","Análise de dados","Agente Federal de Execução Penal","Sim","Sim","Excel;PowerBI;R","Imediatamente","Necessidade de aplicação imediata em projetos de coleta, análise e divulgação de dados do sistema penitenciário brasileiro.","Modelagem de dados e integração de banco de dados."
"2020/11/30 9:28:25 AM GMT-3","Talvez","Sim","Controle interno","Técnico","Talvez","Sim","Excel;R;Python;Java;Calc","Imediatamente","Implantar um núcleo de análise de dados no orgão","Quais ferramentas são mais importantes pra utilização dentro da realidade do meu órgão. "
"2020/11/30 9:28:42 AM GMT-3","Talvez","Não","Planejamento","EPPGG","Sim","Sim","Excel;PowerBI;R","Imediatamente","A criação de um GT de dados na área onde atuo.","Visão geral sobre o tema, uso de banco de dados, visualização de dados."
"2020/11/30 9:28:46 AM GMT-3","Sim","Sim","Desenvolvimento de sistemas","Policial Rodoviário Federal","Sim","Sim","Python;Java","Imediatamente","Fui indicado para assumir a chefia da divisão de estatística da diretoria de operações do DPRF"," - Fundamentos da análise de dados, fundamentos de programação em R e Python, sendo neste último especificamente para trabalhar com análise de dados."
"2020/11/30 9:29:10 AM GMT-3","Talvez","Talvez","Recursos Humanos","Analista","Sim","Sim","Excel","Imediatamente","Interesse no tema, além da necessidade de aprimorar a análise de dados das capacitações dos servidores do Instituto.","Conceitos básicos de análise de dados, aplicação das ferramentas no trabalho e análise e elaboração de gráficos."
"2020/11/30 9:29:20 AM GMT-3","Talvez","Sim","Financeiro","Policial","Sim","Sim","Excel;PowerBI;Java;Calc","Imediatamente","Percebo que análise de dados na área de Orçamento Público tem margem para crescimento e melhoria no órgão que trabalho. Existem rotinas que podem ser melhoradas e toda a análise de dados é extraída de planilhas.","Aprender sobre novas ferramentas e rotinas que podem ser implementadas para melhor análise e tomada de decisões."
"2020/11/30 9:29:29 AM GMT-3","Sim","Sim","Análise de dados","Analista","Talvez","Sim","Excel;PowerBI;Java","Em até seis meses","A possibilidade de aprender novas habilidades e ferramentas para evoluir com o trabalho desenvolvido na empresa","Noções básicas de ciência de dados e como podemos utilizá-la  de forma prática no dia a dia da empresa "
"2020/11/30 9:29:29 AM GMT-3","Sim","Não","Análise de dados","Economista","Sim","Sim","Excel;R","Imediatamente","Ampliar o conhecimento técnico na área","Contéudo na área de Ciência de Dados/Análise Estatística"
"2020/11/30 9:29:31 AM GMT-3","Não","Sim","Projetos e Processos","Gerente","Talvez","Sim","Excel","Imediatamente","Interesse em transformar os dados coletados em informações úteis, o que auxiliaria no planejamento e na tomada de decisões. Sempre entendi que a boa leitura dos dados é importante e sempre tenho trabalhado para melhorar a leitura dos dados no meu setor.","Aprender sobre a ciência de dados e seu importância"
"2020/11/30 9:29:57 AM GMT-3","Sim","Não","Análise de dados","Delegado","Sim","Sim","Excel;Qlik","Imediatamente","Conhecer novas formas de análise de dados, objetivando aplicá-las à minha realidade.","Conhecer novas bases públicas; produção de gráficos; apresentação do R; introdução a conceitos estatísticos;"
"2020/11/30 9:32:39 AM GMT-3","Talvez","Sim","Controle interno","Auditor","Sim","Talvez","Excel","Imediatamente","O uso de ciência de dados na Auditoria é uma realidade. Meu objetivo é  adquirir e consolidar conhecimentos no tema que me permitirão aplicar técnicas de análise e ciência de dados em meu trabalho e colaborar no desenvolvimento da equipe que gerencio.","Conceitos gerais sobre ciência de dados: principais técnicas, identificação de oportunidades de uso de dados, manipulação de dados, análise exploratória, visualização de dados, conceitos básicos de estatística, visualização de dados, principais técnicas de machine learning, etc"
