"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"MG","31","3100104","Abadia dos Dourados","7.015","2.195.345","154.969.408","Demais serviços","1821","2779"
"MG","31","3100203","Abaeté","23.535","1.804.421","426.041.738","Demais serviços","2308","1366"
"MG","31","3100302","Abre Campo","13.719","1.345.399","184.763.595","Demais serviços","2986","2492"
"MG","31","3100401","Acaiaca","4.056","953.573","38.762.744","Administração, defesa, educação e saúde públicas e seguridade social","3739","4866"
"MG","31","3100500","Açucena","10.140","970.271","96.998.015","Administração, defesa, educação e saúde públicas e seguridade social","3692","3535"
"MG","31","3100609","Água Boa","14.686","892.952","128.317.164","Administração, defesa, educação e saúde públicas e seguridade social","3913","3100"
"MG","31","3100708","Água Comprida","2.064","6.436.449","132.462.125","Agricultura, inclusive apoio à agricultura e a pós colheita","136","3042"
"MG","31","3100807","Aguanil","4.370","1.347.349","5.982.229","Administração, defesa, educação e saúde públicas e seguridade social","2980","5451"
"MG","31","3100906","Águas Formosas","19.307","1.169.598","227.089.199","Demais serviços","3249","2152"
"MG","31","3101003","Águas Vermelhas","13.447","1.627.076","220.891.905","Administração, defesa, educação e saúde públicas e seguridade social","2554","2196"
"MG","31","3101102","Aimorés","25.694","1.687.778","433.944.569","Demais serviços","2456","1344"
"MG","31","3101201","Aiuruoca","6.240","1.445.494","89.750.701","Demais serviços","2824","3659"
"MG","31","3101300","Alagoa","2.760","1.288.985","35.472.874","Administração, defesa, educação e saúde públicas e seguridade social","3067","4944"
"MG","31","3101409","Albertina","3.033","2.779.671","84.668.789","Comércio e reparação de veículos automotores e motocicletas","1204","3749"
"MG","31","3101508","Além Paraíba","35.720","2.571.191","922.183.385","Demais serviços","1391","747"
"MG","31","3101607","Alfenas","78.712","3.342.298","2.664.045.632","Demais serviços","834","313"
"MG","31","3101631","Alfredo Vasconcelos","6.639","1.242.303","84.166.041","Administração, defesa, educação e saúde públicas e seguridade social","3127","3762"
"MG","31","3101706","Almenara","41.296","1.187.307","496.223.065","Demais serviços","3212","1224"
"MG","31","3101805","Alpercata","7.478","1.048.345","78.783.145","Administração, defesa, educação e saúde públicas e seguridade social","3510","3869"
"MG","31","3101904","Alpinópolis","19.630","1.776.406","352.545.487","Demais serviços","2338","1563"
"MG","31","3102001","Alterosa","14.434","1.503.866","218.827.593","Demais serviços","2731","2216"
"MG","31","3102050","Alto Caparaó","5.702","1.240.581","71.842.069","Administração, defesa, educação e saúde públicas e seguridade social","3131","4014"
"MG","31","3153509","Alto Jequitibá","8.528","1.410.572","12.020.896","Administração, defesa, educação e saúde públicas e seguridade social","2869","5332"
"MG","31","3102100","Alto Rio Doce","11.896","1.386.248","162.094.002","Produção florestal, pesca e aquicultura","2909","2704"
"MG","31","3102209","Alvarenga","4.292","927.967","38.965.335","Administração, defesa, educação e saúde públicas e seguridade social","3806","4859"
"MG","31","3102308","Alvinópolis","15.619","1.801.382","280.997.618","Demais serviços","2313","1853"
"MG","31","3102407","Alvorada de Minas","3.666","1.158.031","42.534.492","Administração, defesa, educação e saúde públicas e seguridade social","3271","4758"
"MG","31","3102506","Amparo do Serra","4.971","935.042","46.041.464","Administração, defesa, educação e saúde públicas e seguridade social","3786","4662"
"MG","31","3102605","Andradas","40.092","2.143.865","872.681.663","Demais serviços","1869","787"
"MG","31","3102803","Andrelândia","12.507","1.749.493","218.809.148","Demais serviços","2375","2217"
"MG","31","3102852","Angelândia","8.460","909.714","77.698.674","Administração, defesa, educação e saúde públicas e seguridade social","3858","3890"
"MG","31","3102902","Antônio Carlos","11.560","1.214.199","140.944.249","Administração, defesa, educação e saúde públicas e seguridade social","3171","2937"
"MG","31","3103009","Antônio Dias","9.685","196.532","189.397.914","Administração, defesa, educação e saúde públicas e seguridade social","5220","2453"
"MG","31","3103108","Antônio Prado de Minas","1.677","1.345.482","22.388.815","Administração, defesa, educação e saúde públicas e seguridade social","2985","5205"
"MG","31","3103207","Araçaí","2.352","2.450.321","58.023.608","Administração, defesa, educação e saúde públicas e seguridade social","1521","4325"
