"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2018","2","B","M","E","3506607","Biritiba-Mirim","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","2822057.11","31479","Total das Despesas Exceto Intra-Orçamentárias","2018-05-10T17:39:13Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3302007","Itaguaí","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","16565455.2","120855","Total das Despesas Exceto Intra-Orçamentárias","2018-12-19T01:32:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3137601","Lagoa Santa","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","7952990.79","60787","Total das Despesas Exceto Intra-Orçamentárias","2019-05-28T14:42:40Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3302007","Itaguaí","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1508581.6","120855","Total de Despesas Intraorçamentária","2018-12-19T01:32:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3552502","Suzano","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","30587359.95","288056","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T20:53:04Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3552502","Suzano","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","1600558.56","288056","Total de Despesas Intraorçamentária","2018-11-30T20:53:04Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3144805","Nova Lima","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","20093576.45","91069","Total das Despesas Exceto Intra-Orçamentárias","2018-05-29T18:11:15Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3543303","Ribeirão Pires","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","8917596.53","121130","Total das Despesas Exceto Intra-Orçamentárias","2018-03-29T14:38:20Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3106200","Belo Horizonte","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","63741103","2513451","Total de Despesas Intraorçamentária","2018-07-26T15:54:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3515707","Ferraz de Vasconcelos","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","16075836.78","186808","Total das Despesas Exceto Intra-Orçamentárias","2018-05-28T20:47:46Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3550308","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1867581105.03","12038175","Total das Despesas Exceto Intra-Orçamentárias","2018-07-30T16:46:50Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","11627888","79100","Total das Despesas Exceto Intra-Orçamentárias","2018-08-08T16:50:41Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","3","B","M","E","3301801","Engenheiro Paulo de Frontin","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2684867.8","13929","Total das Despesas Exceto Intra-Orçamentárias","2019-07-24T13:30:25Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3201308","Cariacica","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","31544652.51","384621","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T16:11:58Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3548500","Santos","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","104258427.21","432957","Total das Despesas Exceto Intra-Orçamentárias","2019-04-10T01:33:31Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3201159","Brejetuba","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","1508817.91","12797","Total das Despesas Exceto Intra-Orçamentárias","2018-12-19T16:10:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3131000","Inhaúma","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","885244.29","6200","Total das Despesas Exceto Intra-Orçamentárias","2019-02-14T12:03:37Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3131000","Inhaúma","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","664991.72","6200","Total das Despesas Exceto Intra-Orçamentárias","2019-02-14T12:03:37Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3548500","Santos","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","70727337.27","432957","Total das Despesas Exceto Intra-Orçamentárias","2019-04-10T01:33:31Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3518701","Guarujá","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","46294958.54","313421","Total das Despesas Exceto Intra-Orçamentárias","2018-05-22T19:46:00Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3118908","Cordisburgo","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","749461.98","9029","Total das Despesas Exceto Intra-Orçamentárias","2018-07-26T12:10:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3509205","Cajamar","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","17370973.65","72875","Total das Despesas Exceto Intra-Orçamentárias","2018-08-10T21:14:27Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3140001","Mariana","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1542881.17","59343","Total de Despesas Intraorçamentária","2019-04-16T01:31:28Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3552809","Taboão da Serra","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","34297923.68","275948","Total das Despesas Exceto Intra-Orçamentárias","2018-07-27T21:54:34Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3548708","São Bernardo do Campo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","172758450.61","822242","Total das Despesas Exceto Intra-Orçamentárias","2018-07-31T01:33:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3543303","Ribeirão Pires","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","13438977.45","121130","Total das Despesas Exceto Intra-Orçamentárias","2018-07-30T16:35:48Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3118908","Cordisburgo","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","561551.5","9029","Total das Despesas Exceto Intra-Orçamentárias","2018-09-25T13:37:26Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3205002","Serra","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","58732130.12","494109","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T16:46:48Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3516408","Franco da Rocha","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","16855513.47","147650","Total das Despesas Exceto Intra-Orçamentárias","2019-02-02T01:36:14Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3140001","Mariana","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","13755095.66","59343","Total das Despesas Exceto Intra-Orçamentárias","2019-04-16T01:31:28Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","54255","79100","Total de Despesas Intraorçamentária","2018-12-03T10:39:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3146107","Ouro Preto","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","7058618.42","74356","Total das Despesas Exceto Intra-Orçamentárias","2018-12-28T01:30:31Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3522208","Itapecerica da Serra","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","18628075.89","169103","Total das Despesas Exceto Intra-Orçamentárias","2018-05-30T19:25:13Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3548500","Santos","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","89030762.77","434359","Total das Despesas Exceto Intra-Orçamentárias","2018-12-01T01:33:29Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","19710","79100","Total de Despesas Intraorçamentária","2018-12-03T10:39:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3144805","Nova Lima","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","20117372.52","93577","Total das Despesas Exceto Intra-Orçamentárias","2019-05-30T19:36:08Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3131703","Itabira","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","997994.07","118481","Total de Despesas Intraorçamentária","2018-03-28T21:26:02Z","##------ Thu Nov 26 10:53:34 2020 ------##"
